0,1405000298,utime,AM_vel(rpm),AM_supV(dV),AM_supI(dA)
0,1405000298,mins,,,0,,,,,,,,,,-37624,,,,,,,0
0,1405000298,maxs,,,37624,,,,,,,37624,,,,,,37624
0,1405000298,attr,,,N,,,,,,,,,,,,,N,,,,,,,,,N
0,1405000299,2305,11784,-18702,26976
0,1405000299,2410,11784,-18702,26976
0,1405000299,2514,11784,-18702,26976
0,1405000299,2616,11784,-18702,26976
0,1405000299,2719,11784,-18702,26976
0,1405000299,2828,11784,-18702,26976
0,1405000299,2932,11784,-18702,26976
0,1405000300,3040,11784,-18702,26976
0,1405000300,3141,11784,-18702,26976
0,1405000300,3246,11784,-18702,26976
0,1405000300,3349,11784,-18702,26976
0,1405000300,3919,11784,-18702,26976
0,1405000301,4020,11784,-18702,26976
0,1405000301,4122,11784,-18702,26976
0,1405000301,4227,11784,-18702,26976
0,1405000301,4336,11784,-18702,26976
0,1405000301,4444,11784,-18702,26976
0,1405000301,4545,11784,-18702,26976
0,1405000301,4651,11784,-18702,26976
0,1405000301,4756,11784,-18702,26976
0,1405000301,4864,11784,-18702,26976
0,1405000301,4972,11784,-18702,26976
0,1405000302,5075,11784,-18702,26976
0,1405000302,5180,11784,-18702,26976
0,1405000302,5289,11784,-18702,26976
0,1405000302,5401,11784,-18702,26976
0,1405000302,5506,11784,-18702,26976
0,1405000302,5611,11784,-18702,26976
0,1405000302,5712,11784,-18702,26976
0,1405000302,5819,11784,-18702,26976
0,1405000302,5927,11784,-18702,26976
0,1405000303,6035,11784,-18702,26976
0,1405000303,6141,11784,-18702,26976
0,1405000303,6245,11784,-18702,26976
0,1405000303,6346,11784,-18702,26976
0,1405000303,6454,11784,-18702,26976
0,1405000303,6556,11784,-18702,26976
0,1405000303,6659,11784,-18702,26976
0,1405000303,6766,11784,-18702,26976
0,1405000303,6870,11784,-18702,26976
0,1405000303,6976,11784,-18702,26976
0,1405000304,7083,11784,-18702,26976
0,1405000304,7186,11784,-18702,26976
0,1405000304,7288,11784,-18702,26976
0,1405000304,7391,11784,-18702,26976
0,1405000304,7499,11784,-18702,26976
