0,1405007694,utime,T(cK),I(cA),V(mV),V_sup(mV),Stat,T(cK),I(cA),V(mV),V_sup(mV),Stat
0,1405007694,mins,,,0,,,,,,0,,,,,0,,,,,0,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0
0,1405007694,maxs,,32768,,,32768,,32768,,32768,32768,32768,32768,32768,,32768,,32768
0,1405007694,attr,,N,,,,,,,,N,,,,,,N,,,,,,,N,,,,,N,,,,,N,,,,,N,,,,,N,,,,N,,,,,,,N
0,1405007695,2193,0,0,0,0,0,0,0,0,0,0
0,1405007696,3198,30600,-78,13820,0,1,30510,-78,13810,99,1
0,1405007697,4204,30600,-78,13815,0,1,30510,-78,13810,99,1
0,1405007698,5207,30600,-78,13815,0,1,30510,-78,13805,99,1
0,1405007699,6211,30600,-78,13815,0,1,30510,-78,13805,99,1
0,1405007700,7216,30600,-78,13815,0,1,30510,-80,13805,99,1
0,1405007701,8219,30600,-78,13815,0,1,30510,-78,13805,99,1
0,1405007702,9626,30600,-78,13810,0,1,30510,-78,13805,99,1
0,1405007703,10630,30600,-77,13810,0,1,30510,-78,13800,99,1
0,1405007704,11634,30600,-77,13810,0,1,30555,-78,13800,99,1
0,1405007705,12640,30600,-77,13810,0,1,30510,-78,13800,99,1
0,1405007706,13651,30600,-77,13810,0,1,30510,-78,13800,99,1
0,1405007707,14659,30600,-77,13805,0,1,30510,-78,13795,99,1
0,1405007708,15664,30600,-77,13805,0,1,30510,-78,13795,99,1
0,1405007709,16669,30600,0,13855,23826,1,30510,1,13845,24068,1
0,1405007710,17675,30600,0,13855,23903,1,30510,1,13850,24145,1
0,1405007711,18683,30600,-2,13860,23903,4,30555,-2,13855,24145,2
0,1405007712,19690,30645,-2,13865,23903,4,30555,-2,13855,24156,2
0,1405007713,20697,30600,98,13910,23562,1,30555,98,13905,23859,3
0,1405007714,21702,30600,100,13920,23562,1,30510,98,13910,23859,3
0,1405007715,22708,30600,100,13925,23562,1,30555,98,13915,23859,3
0,1405007716,23713,30600,100,13930,23562,1,30555,98,13920,23859,3
0,1405007717,24718,30600,100,13930,23562,1,30555,98,13925,23859,3
0,1405007718,25723,30600,100,13935,23562,1,30510,98,13925,23859,3
0,1405007719,26727,30600,100,13940,23562,1,30555,98,13930,23859,3
0,1405007720,27731,30600,100,13940,23562,1,30510,98,13930,23859,3
0,1405007721,28734,30600,100,13945,23562,1,30555,98,13935,23859,3
0,1405007722,29739,30600,100,13945,23562,1,30555,98,13935,23859,3
0,1405007723,30743,30600,100,13950,23562,1,30510,98,13940,23859,3
0,1405007724,31746,30600,100,13950,23562,1,30510,98,13940,23859,3
0,1405007725,32771,30600,100,13955,23562,1,30555,98,13945,23859,3
0,1405007726,33775,30600,100,13955,23562,1,30555,98,13950,23859,3
0,1405007728,35426,30600,100,13960,23562,1,30510,98,13950,23859,3
0,1405007729,36427,30600,100,13965,23562,1,30555,98,13950,23859,3
0,1405007730,37431,30600,100,13965,23562,1,30510,98,13955,23859,3
0,1405007731,38432,30600,100,13970,23562,1,30555,98,13960,23859,3
0,1405007732,39433,30600,100,13970,23562,1,30510,98,13960,23859,3
