0,1405007694,utime,volts24,volts12,gappos,gapmotor,BSChKill,MotCont,MotPreC,ArrCont,ArrPreC,GapD1,GapIN1,GapIN2,ArrayA,ArrayB,ArrayC,Estop,Thren
0,1405007694,mins,,,,0,,,,,,0,,,,,,,0,,,,,,-2,,,,,,,,0,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0
0,1405007694,maxs,,,100,,,,100,,,,100,,,,,,+2,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,1,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,1
0,1405007694,attr,,,,N,,,,,,,N,,,,,,N,,,,,,,N,,,,,,,,L,,,,,,,,L,,,,,,L,,,,,,,L,,,,,,,L,,,,,,L,,,,,L,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,L
0,1405007695,2193,55861,43216,48317,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1405007696,3198,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405007697,4204,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405007698,5207,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405007699,6211,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405007700,7216,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405007701,8219,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405007702,9626,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405007703,10630,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405007704,11634,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405007705,12640,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405007706,13651,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405007707,14659,55861,43216,48317,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405007708,15664,55861,43216,48317,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405007709,16669,55861,43216,48317,0,0,0,0,0,1,0,1,1,0,0,0,0,1
0,1405007710,17675,55861,43216,48317,0,0,0,0,0,1,0,1,1,0,0,0,0,1
0,1405007711,18683,55861,43216,48317,-1,0,0,0,1,1,0,0,1,0,0,0,0,1
0,1405007712,19690,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007713,20697,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007714,21702,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007715,22708,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007716,23713,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007717,24718,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007718,25723,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007719,26727,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007720,27731,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007721,28734,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007722,29739,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007723,30743,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007724,31746,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007725,32771,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007726,33775,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007728,35426,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007729,36427,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007730,37431,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007731,38432,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007732,39433,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007733,40434,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007734,41437,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007735,42439,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007736,43443,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007737,44446,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007738,45450,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007739,46456,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007740,47460,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007741,48462,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007742,49465,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007743,50469,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007744,51473,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007745,52475,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007746,53478,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007747,54480,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007748,55481,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007749,56483,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007750,57484,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007751,58488,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007753,60640,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007754,61647,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007755,62653,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007756,63657,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007757,64664,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007758,65673,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007759,66681,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007760,67682,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007761,68691,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007763,70717,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007764,71726,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007765,72738,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007766,73743,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007768,75518,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007769,76522,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007770,77528,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007771,78537,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007772,79539,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007773,80541,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007774,81546,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007775,82547,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007776,83553,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007777,84562,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007778,85575,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007779,86582,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007780,87585,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007781,88592,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007782,89599,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007783,90606,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007784,91610,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007785,92617,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007786,93624,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007787,94625,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007788,95632,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405007789,96637,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007790,97640,55861,43216,48317,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405007791,98642,55861,43216,48317,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
