0,1405105215,utime,AM_vel(rpm),AM_supV(dV),AM_supI(dA)
0,1405105215,mins,,,0,,,,,,,,,,-37624,,,,,,,0
0,1405105215,maxs,,,37624,,,,,,,37624,,,,,,37624
0,1405105215,attr,,,N,,,,,,,,,,,,,N,,,,,,,,,N
0,1405105215,2865,15880,-18689,-9888
0,1405105216,3910,15880,-18689,-9888
0,1405105217,4018,15880,-18689,-9888
0,1405105217,4125,15880,-18689,-9888
0,1405105217,4237,15880,-18689,-9888
0,1405105217,4340,15880,-18689,-9888
0,1405105217,4446,15880,-18689,-9888
0,1405105217,4547,15880,-18689,-9888
0,1405105217,4652,15880,-18689,-9888
0,1405105217,4757,15880,-18689,-9888
0,1405105217,4862,15880,-18689,-9888
0,1405105217,4969,15880,-18689,-9888
0,1405105218,5079,15880,-18689,-9888
0,1405105218,5186,15880,-18689,-9888
0,1405105218,5293,15880,-18689,-9888
0,1405105218,5400,15880,-18689,-9888
0,1405105218,5507,15880,-18689,-9888
0,1405105218,5611,15880,-18689,-9888
0,1405105218,5719,15880,-18689,-9888
0,1405105218,5825,15880,-18689,-9888
0,1405105218,5935,15880,-18689,-9888
0,1405105219,6046,15880,-18689,-9888
0,1405105219,6502,15880,-18689,-9888
0,1405105219,6604,15880,-18689,-9888
0,1405105219,6712,15880,-18689,-9888
0,1405105219,6818,15880,-18689,-9888
0,1405105219,6960,15880,-18689,-9888
0,1405105220,7075,15880,-18689,-9888
0,1405105220,7180,15880,-18689,-9888
0,1405105220,7289,15880,-18689,-9888
0,1405105220,7392,15880,-18689,-9888
0,1405105220,7498,15880,-18689,-9888
0,1405105220,7607,15880,-18689,-9888
0,1405105220,7714,15880,-18689,-9888
0,1405105220,7822,15880,-18689,-9888
0,1405105220,7923,15880,-18689,-9888
0,1405105221,8032,15880,-18689,-9888
0,1405105221,8140,15880,-18689,-9888
0,1405105221,8256,15880,-18689,-9888
0,1405105221,8363,15880,-18689,-9888
0,1405105221,8470,15880,-18689,-9888
0,1405105221,8576,15880,-18689,-9888
0,1405105221,8681,15880,-18689,-9888
0,1405105221,8787,15880,-18689,-9888
0,1405105221,8893,15880,-18689,-9888
0,1405105221,8999,15880,-18689,-9888
0,1405105222,9930,15880,-18689,-9888
0,1405105223,10032,15880,-18689,-9888
0,1405105223,10140,15880,-18689,-9888
0,1405105223,10246,15880,-18689,-9888
0,1405105223,10353,15880,-18689,-9888
0,1405105223,10463,15880,-18689,-9888
0,1405105223,10564,15880,-18689,-9888
0,1405105223,10669,15880,-18689,-9888
0,1405105223,10776,15880,-18689,-9888
0,1405105223,10879,15880,-18689,-9888
0,1405105223,10983,15880,-18689,-9888
0,1405105224,11091,15880,-18689,-9888
0,1405105224,11193,15880,-18689,-9888
0,1405105224,11297,15880,-18689,-9888
0,1405105224,11401,15880,-18689,-9888
0,1405105224,11506,15880,-18689,-9888
0,1405105224,11615,15880,-18689,-9888
0,1405105224,11721,15880,-18689,-9888
0,1405105224,11827,15880,-18689,-9888
0,1405105224,11934,15880,-18689,-9888
0,1405105225,12036,15880,-18689,-9888
0,1405105225,12140,15880,-18689,-9888
0,1405105225,12241,15880,-18689,-9888
0,1405105225,12345,15880,-18689,-9888
0,1405105225,12450,15880,-18689,-9888
