0,1405087335,utime,T(cK),I(cA),V(mV),V_sup(mV),Stat,T(cK),I(cA),V(mV),V_sup(mV),Stat
0,1405087335,mins,,,0,,,,,,0,,,,,0,,,,,0,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0
0,1405087335,maxs,,32768,,,32768,,32768,,32768,32768,32768,32768,32768,,32768,,32768
0,1405087335,attr,,N,,,,,,,,N,,,,,,N,,,,,,,N,,,,,N,,,,,N,,,,,N,,,,,N,,,,N,,,,,,,N
0,1405087336,2275,0,0,0,0,0,0,0,0,0,0
0,1405087337,3281,30015,-77,14260,0,1,29880,-78,14050,99,1
0,1405087338,4282,30015,-78,14260,0,1,29835,-78,14045,99,1
0,1405087339,5287,30015,-77,14260,0,1,29880,-78,14045,88,1
0,1405087340,6295,30015,-77,14260,0,1,29880,-78,14045,88,1
0,1405087341,7296,30015,-77,14260,0,1,29880,-78,14045,88,1
0,1405087342,8299,30015,-77,14255,0,1,29880,-78,14040,88,1
0,1405087343,9300,30015,-77,14255,0,1,29880,-78,14040,88,1
0,1405087346,12066,30015,-77,14255,0,1,29880,-78,14040,88,1
0,1405087347,13083,30015,-77,14255,0,1,29880,-78,14040,88,1
0,1405087348,14093,30015,-77,14245,0,1,29880,-77,14035,88,1
0,1405087349,15094,30015,-77,14245,0,1,29880,-78,14035,88,1
0,1405087350,16097,30015,-77,14245,0,1,29880,-77,14030,88,1
0,1405087351,17105,30015,-77,14245,0,1,29880,-77,14030,88,1
0,1405087352,18114,30015,-77,14240,0,1,29835,-77,14030,88,1
0,1405087353,19119,30015,-77,14240,0,1,29880,-77,14030,88,1
0,1405087354,20127,30015,-77,14240,0,1,29880,-77,14030,88,1
0,1405087355,21134,30015,-77,14240,0,1,29880,-77,14025,88,1
0,1405087356,22138,30015,-77,14235,0,1,29880,-77,14025,88,1
0,1405087357,23148,30015,-77,14235,0,1,29880,-77,14025,88,1
0,1405087358,24149,30015,-77,14235,0,1,29880,-78,14020,88,1
0,1405087359,25158,30015,-77,14230,0,1,29835,-77,14020,88,1
0,1405087360,26161,30015,-77,14230,0,1,29880,-78,14020,88,1
0,1405087361,27163,30015,-77,14230,0,1,29880,-77,14020,88,1
0,1405087362,28164,30015,-77,14225,0,1,29880,-77,14015,88,1
0,1405087363,29173,30015,-77,14225,0,1,29880,-77,14015,88,1
0,1405087364,30180,30015,-77,14225,0,1,29880,-77,14015,88,1
0,1405087365,31187,30015,-77,14225,0,1,29880,-77,14015,88,1
0,1405087366,32195,30015,-77,14220,0,1,29880,-77,14010,88,1
0,1405087367,33198,30015,-77,14220,0,1,29880,-77,14010,88,1
0,1405087368,34208,30015,-77,14220,0,1,29880,-77,14010,88,1
0,1405087369,35215,30015,-77,14220,0,1,29880,-78,14010,88,1
0,1405087370,36218,30015,-77,14215,0,1,29880,-78,14010,88,1
0,1405087371,37919,30015,-77,14215,0,1,29880,-78,14005,88,1
0,1405087372,38926,30015,-75,14215,0,1,29880,-78,14005,88,1
0,1405087373,39934,30015,-75,14210,0,1,29880,-77,14005,88,1
0,1405087374,40935,30015,-77,14210,0,1,29880,-77,14005,88,1
0,1405087375,41937,30015,-75,14210,0,1,29880,-77,14000,88,1
