0,1405324624,utime,SV_desphI,SV_desspd,SV_trgphI,SV_drvst,SV_flt1lat,SV_flt1,SV_flt2,SV_flt3,SV_thrlim,SV_rgnlim,VC_discrete
0,1405324624,mins,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,,,,,0,,,,,,,0
0,1405324624,maxs,,,37624,,,,,,37624,,,,,37624,,,,,37624,,,,37624,,,,,37624,,,37624,,,37624,,,,37624,,,,,37624,,,,,,37624
0,1405324624,attr,,,,,N,,,,,,,,,N,,,,,,,,,,N,,,,,,,,N,,,,,,,,,,N,,,,,,,N,,,,,,,,N,,,,,,N,,,,,,,,,N,,,,,,,,,,N,,,,,,,,N
0,1405324655,32344,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324656,33347,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324657,34348,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324658,35377,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324659,36378,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324660,37380,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324661,38387,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324662,39390,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324663,40392,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324664,41393,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324665,42400,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324666,43402,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324667,44404,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324668,45406,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324669,46407,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324670,47412,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324671,48422,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324672,49428,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324674,51231,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324675,52238,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324676,53244,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324677,54248,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324678,55250,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324679,56265,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324680,57272,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
0,1405324681,58275,0,-18244,-18707,23701,-15490,6,0,-7079,-18696,0,-1
