0,1405350502,utime,AM_vel(rpm),AM_supV(dV),AM_supI(dA)
0,1405350502,mins,,,0,,,,,,,,,,-37624,,,,,,,0
0,1405350502,maxs,,,37624,,,,,,,37624,,,,,,37624
0,1405350502,attr,,,N,,,,,,,,,,,,,N,,,,,,,,,N
0,1405350503,2336,3592,-18696,18784
0,1405350503,2587,3592,-18696,18784
0,1405350503,2844,3592,-18696,18784
0,1405350504,3095,3592,-18696,18784
0,1405350504,3636,3592,-18696,18784
0,1405350504,3899,3592,-18696,18784
0,1405350505,4154,3592,-18696,18784
0,1405350505,4408,3592,-18696,18784
0,1405350505,4661,3592,-18696,18784
0,1405350505,4920,3592,-18696,18784
0,1405350506,5179,3592,-18696,18784
0,1405350506,5443,3592,-18696,18784
0,1405350506,5695,3592,-18696,18784
0,1405350506,5954,3592,-18696,18784
0,1405350507,6208,3592,-18696,18784
0,1405350507,6465,3592,-18696,18784
0,1405350507,6716,3592,-18696,18784
0,1405350507,6974,3592,-18696,18784
0,1405350508,7231,3592,-18696,18784
0,1405350508,7487,3592,-18696,18784
0,1405350508,7738,3592,-18696,18784
0,1405350508,7989,3592,-18696,18784
0,1405350509,8244,3592,-18696,18784
0,1405350509,8499,3592,-18696,18784
0,1405350509,8762,3592,-18696,18784
0,1405350510,9017,3592,-18696,18784
0,1405350510,9271,3592,-18696,18784
0,1405350510,9528,3592,-18696,18784
0,1405350510,9782,3592,-18696,18784
0,1405350511,10036,3592,-18696,18784
0,1405350511,10287,3592,-18696,18784
0,1405350511,10543,3592,-18696,18784
0,1405350511,10795,3592,-18696,18784
0,1405350512,11050,3592,-18696,18784
0,1405350512,11309,3592,-18696,18784
0,1405350512,11570,3592,-18696,18784
0,1405350512,11822,3592,-18696,18784
0,1405350513,12074,3592,-18696,18784
0,1405350513,12329,3592,-18696,18784
0,1405350513,12587,3592,-18696,18784
0,1405350513,12853,3592,-18696,18784
0,1405350514,13104,3592,-18696,18784
0,1405350514,13363,3592,-18696,18784
0,1405350514,13620,3592,-18696,18784
0,1405350514,13873,3592,-18696,18784
0,1405350515,14124,3592,-18696,18784
0,1405350515,14384,3592,-18696,18784
0,1405350515,14637,3592,-18696,18784
0,1405350515,14902,3592,-18696,18784
0,1405350516,15169,3592,-18696,18784
0,1405350516,15427,3592,-18696,18784
0,1405350516,15680,3592,-18696,18784
0,1405350516,15934,3592,-18696,18784
0,1405350517,16193,3592,-18696,18784
0,1405350517,16444,3592,-18696,18784
0,1405350517,16707,3592,-18696,18784
0,1405350517,16972,3592,-18696,18784
0,1405350518,17224,3592,-18696,18784
0,1405350518,17480,3592,-18696,18784
0,1405350518,17742,3592,-18696,18784
0,1405350518,17999,3592,-18696,18784
0,1405350519,18258,3592,-18696,18784
0,1405350519,18912,3592,-18696,18784
0,1405350520,19177,3592,-18696,18784
0,1405350520,19431,3592,-18696,18784
0,1405350520,19686,3592,-18696,18784
0,1405350520,19937,3592,-18696,18784
0,1405350521,20189,3592,-18696,18784
0,1405350521,20447,3592,-18696,18784
0,1405350521,20699,3592,-18696,18784
0,1405350521,20951,3592,-18696,18784
0,1405350522,21207,3592,-18696,18784
0,1405350522,21465,3592,-18696,18784
0,1405350522,21717,3592,-18696,18784
0,1405350522,21977,3592,-18696,18784
0,1405350523,22228,3592,-18696,18784
0,1405350523,22480,3592,-18696,18784
0,1405350523,22736,3592,-18696,18784
0,1405350523,22996,3592,-18696,18784
0,1405350524,23254,3592,-18696,18784
0,1405350524,23506,3592,-18696,18784
0,1405350524,23760,3592,-18696,18784
0,1405350525,24020,3592,-18696,18784
0,1405350525,24274,3592,-18696,18784
0,1405350525,24529,3592,-18696,18784
0,1405350525,24785,3592,-18696,18784
0,1405350526,25040,3592,-18696,18784
0,1405350526,25291,3592,-18696,18784
0,1405350526,25545,3592,-18696,18784
0,1405350526,25798,3592,-18696,18784
0,1405350527,26060,3592,-18696,18784
0,1405350527,26313,3592,-18696,18784
0,1405350527,26564,3592,-18696,18784
0,1405350527,26816,3592,-18696,18784
0,1405350528,27069,3592,-18696,18784
0,1405350528,27325,3592,-18696,18784
0,1405350528,27577,3592,-18696,18784
0,1405350528,27835,3592,-18696,18784
0,1405350529,28099,3592,-18696,18784
0,1405350529,28362,3592,-18696,18784
0,1405350530,29399,3592,-18696,18784
0,1405350530,29660,3592,-18696,18784
0,1405350530,29916,3592,-18696,18784
0,1405350531,30169,3592,-18696,18784
0,1405350531,30421,3592,-18696,18784
0,1405350531,30679,3592,-18696,18784
0,1405350531,30937,3592,-18696,18784
0,1405350532,31194,3592,-18696,18784
0,1405350532,31448,3592,-18696,18784
0,1405350532,31707,3592,-18696,18784
0,1405350532,31967,3592,-18696,18784
0,1405350533,32222,3592,-18696,18784
0,1405350533,32482,3592,-18696,18784
0,1405350533,32741,3592,-18696,18784
0,1405350533,32996,3592,-18696,18784
0,1405350534,33254,3592,-18696,18784
0,1405350535,34099,3592,-18696,18784
0,1405350535,34352,3592,-18696,18784
0,1405350535,34611,3592,-18696,18784
0,1405350535,34865,3592,-18696,18784
0,1405350536,35118,3592,-18696,18784
0,1405350536,35375,3592,-18696,18784
0,1405350536,35634,3592,-18696,18784
0,1405350536,35891,3592,-18696,18784
0,1405350537,36145,3592,-18696,18784
0,1405350537,36397,3592,-18696,18784
0,1405350537,36656,3592,-18696,18784
0,1405350537,36909,3592,-18696,18784
0,1405350538,37170,3592,-18696,18784
0,1405350538,37424,3592,-18696,18784
0,1405350538,37680,3592,-18696,18784
0,1405350538,37933,3592,-18696,18784
0,1405350539,38187,3592,-18696,18784
0,1405350539,38447,3592,-18696,18784
0,1405350539,38700,3592,-18696,18784
0,1405350539,38953,3592,-18696,18784
0,1405350540,39213,3592,-18696,18784
0,1405350540,39694,3592,-18696,18784
0,1405350540,39958,3592,-18696,18784
0,1405350541,40217,3592,-18696,18784
0,1405350541,40468,3592,-18696,18784
0,1405350541,40720,3592,-18696,18784
0,1405350541,40974,3592,-18696,18784
0,1405350542,41233,3592,-18696,18784
0,1405350542,41484,3592,-18696,18784
0,1405350542,41750,3592,-18696,18784
0,1405350543,42004,3592,-18696,18784
0,1405350543,42255,3592,-18696,18784
0,1405350543,42507,3592,-18696,18784
0,1405350543,42759,3592,-18696,18784
0,1405350544,43012,3592,-18696,18784
0,1405350544,43265,3592,-18696,18784
0,1405350544,43519,3592,-18696,18784
0,1405350544,43770,3592,-18696,18784
0,1405350545,44031,3592,-18696,18784
0,1405350545,44292,3592,-18696,18784
0,1405350545,44549,3592,-18696,18784
0,1405350545,44802,3592,-18696,18784
0,1405350546,45058,3592,-18696,18784
0,1405350546,45309,3592,-18696,18784
0,1405350546,45565,3592,-18696,18784
0,1405350546,45832,3592,-18696,18784
0,1405350547,46089,3592,-18696,18784
0,1405350547,46342,3592,-18696,18784
0,1405350547,46597,3592,-18696,18784
0,1405350547,46854,3592,-18696,18784
0,1405350548,47114,3592,-18696,18784
0,1405350548,47372,3592,-18696,18784
0,1405350548,47628,3592,-18696,18784
0,1405350548,47888,3592,-18696,18784
0,1405350549,48141,3592,-18696,18784
0,1405350549,48397,3592,-18696,18784
0,1405350549,48654,3592,-18696,18784
0,1405350549,48913,3592,-18696,18784
0,1405350550,49165,3592,-18696,18784
0,1405350550,49423,3592,-18696,18784
0,1405350550,49677,3592,-18696,18784
0,1405350550,49938,3592,-18696,18784
0,1405350551,50197,3592,-18696,18784
0,1405350551,50448,3592,-18696,18784
0,1405350551,50703,3592,-18696,18784
0,1405350551,50957,3592,-18696,18784
0,1405350552,51218,3592,-18696,18784
0,1405350552,51469,3592,-18696,18784
0,1405350552,51729,3592,-18696,18784
0,1405350552,51994,3592,-18696,18784
0,1405350553,52246,3592,-18696,18784
0,1405350553,52500,3592,-18696,18784
0,1405350553,52753,3592,-18696,18784
0,1405350554,53004,3592,-18696,18784
0,1405350554,53258,3592,-18696,18784
0,1405350554,53516,3592,-18696,18784
0,1405350554,53771,3592,-18696,18784
0,1405350555,54029,3592,-18696,18784
0,1405350555,54286,3592,-18696,18784
0,1405350555,54543,3592,-18696,18784
0,1405350556,55708,3592,-18696,18784
0,1405350556,55961,3592,-18696,18784
0,1405350557,56212,3592,-18696,18784
0,1405350557,56470,3592,-18696,18784
0,1405350557,56730,3592,-18696,18784
0,1405350557,56986,3592,-18696,18784
0,1405350558,57242,3592,-18696,18784
0,1405350558,57502,3592,-18696,18784
0,1405350558,57770,3592,-18696,18784
0,1405350559,58021,3592,-18696,18784
0,1405350559,58276,3592,-18696,18784
0,1405350559,58535,3592,-18696,18784
0,1405350559,58789,3592,-18696,18784
0,1405350560,59047,3592,-18696,18784
0,1405350560,59305,3592,-18696,18784
0,1405350560,59558,3592,-18696,18784
0,1405350561,60781,3592,-18696,18784
0,1405350562,61034,3592,-18696,18784
0,1405350562,61294,3592,-18696,18784
0,1405350562,61552,3592,-18696,18784
0,1405350562,61807,3592,-18696,18784
0,1405350563,62058,3592,-18696,18784
0,1405350563,62313,3592,-18696,18784
0,1405350563,62571,3592,-18696,18784
0,1405350563,62822,3592,-18696,18784
0,1405350564,63081,3592,-18696,18784
0,1405350564,63336,3592,-18696,18784
0,1405350564,63590,3592,-18696,18784
0,1405350564,63844,3592,-18696,18784
0,1405350565,64102,3592,-18696,18784
0,1405350565,64360,3592,-18696,18784
0,1405350565,64613,3592,-18696,18784
0,1405350565,64871,3592,-18696,18784
0,1405350566,65134,3592,-18696,18784
0,1405350566,65396,3592,-18696,18784
0,1405350566,65655,3592,-18696,18784
0,1405350566,65907,3592,-18696,18784
0,1405350567,66159,3592,-18696,18784
0,1405350567,66412,3592,-18696,18784
0,1405350567,66670,3592,-18696,18784
0,1405350567,66923,3592,-18696,18784
0,1405350568,67174,3592,-18696,18784
0,1405350568,67429,3592,-18696,18784
0,1405350568,67683,3592,-18696,18784
0,1405350568,67942,3592,-18696,18784
0,1405350569,68197,3592,-18696,18784
0,1405350569,68454,3592,-18696,18784
0,1405350569,68709,3592,-18696,18784
0,1405350569,68967,3592,-18696,18784
0,1405350570,69222,3592,-18696,18784
0,1405350570,69473,3592,-18696,18784
0,1405350570,69728,3592,-18696,18784
0,1405350570,69983,3592,-18696,18784
0,1405350571,70236,3592,-18696,18784
0,1405350571,70495,3592,-18696,18784
0,1405350571,70753,3592,-18696,18784
0,1405350572,71007,3592,-18696,18784
0,1405350572,71260,3592,-18696,18784
0,1405350572,71517,3592,-18696,18784
0,1405350572,71776,3592,-18696,18784
0,1405350573,72032,3592,-18696,18784
0,1405350573,72289,3592,-18696,18784
0,1405350573,72547,3592,-18696,18784
0,1405350573,72801,3592,-18696,18784
0,1405350574,73058,3592,-18696,18784
0,1405350574,73314,3592,-18696,18784
0,1405350574,73566,3592,-18696,18784
0,1405350574,73821,3592,-18696,18784
0,1405350575,74092,3592,-18696,18784
0,1405350575,74351,3592,-18696,18784
0,1405350575,74603,3592,-18696,18784
0,1405350575,74855,3592,-18696,18784
0,1405350576,75958,3592,-18696,18784
0,1405350577,76212,3592,-18696,18784
0,1405350577,76469,3592,-18696,18784
0,1405350577,76723,3592,-18696,18784
0,1405350577,76987,3592,-18696,18784
0,1405350578,77251,3592,-18696,18784
0,1405350578,77511,3592,-18696,18784
0,1405350578,77766,3592,-18696,18784
0,1405350579,78026,3592,-18696,18784
0,1405350579,78284,3592,-18696,18784
0,1405350579,78538,3592,-18696,18784
0,1405350579,78791,3592,-18696,18784
0,1405350580,79051,3592,-18696,18784
0,1405350580,79305,3592,-18696,18784
0,1405350580,79563,3592,-18696,18784
0,1405350580,79824,3592,-18696,18784
0,1405350581,80099,3592,-18696,18784
0,1405350581,80350,3592,-18696,18784
0,1405350581,80601,3592,-18696,18784
0,1405350581,80855,3592,-18696,18784
0,1405350582,81110,3592,-18696,18784
0,1405350582,81363,3592,-18696,18784
0,1405350582,81616,3592,-18696,18784
0,1405350582,81872,3592,-18696,18784
0,1405350583,82147,3592,-18696,18784
0,1405350583,82404,3592,-18696,18784
0,1405350583,82660,3592,-18696,18784
0,1405350583,82913,3592,-18696,18784
0,1405350584,83171,3592,-18696,18784
0,1405350584,83425,3592,-18696,18784
0,1405350584,83676,3592,-18696,18784
0,1405350584,83938,3592,-18696,18784
0,1405350585,84190,3592,-18696,18784
0,1405350585,84453,3592,-18696,18784
0,1405350585,84711,3592,-18696,18784
0,1405350585,84966,3592,-18696,18784
0,1405350586,85220,3592,-18696,18784
0,1405350586,85474,3592,-18696,18784
0,1405350586,85728,3592,-18696,18784
0,1405350586,85989,3592,-18696,18784
0,1405350587,86254,3592,-18696,18784
0,1405350587,86510,3592,-18696,18784
0,1405350587,86766,3592,-18696,18784
0,1405350588,87018,3592,-18696,18784
0,1405350588,87271,3592,-18696,18784
0,1405350588,87522,3592,-18696,18784
0,1405350588,87773,3592,-18696,18784
0,1405350589,88037,3592,-18696,18784
0,1405350589,88290,3592,-18696,18784
0,1405350589,88542,3592,-18696,18784
0,1405350589,88793,3592,-18696,18784
0,1405350590,89052,3592,-18696,18784
0,1405350590,89309,3592,-18696,18784
0,1405350590,89562,3592,-18696,18784
0,1405350590,89816,3592,-18696,18784
0,1405350592,91221,3592,-18696,18784
0,1405350592,91475,3592,-18696,18784
0,1405350592,91727,3592,-18696,18784
0,1405350592,91984,3592,-18696,18784
0,1405350593,92248,3592,-18696,18784
0,1405350593,92499,3592,-18696,18784
0,1405350593,92757,3592,-18696,18784
0,1405350594,93011,3592,-18696,18784
0,1405350594,93266,3592,-18696,18784
0,1405350594,93519,3592,-18696,18784
0,1405350594,93772,3592,-18696,18784
0,1405350595,94027,3592,-18696,18784
0,1405350595,94286,3592,-18696,18784
0,1405350595,94545,3592,-18696,18784
0,1405350595,94797,3592,-18696,18784
0,1405350596,95052,3592,-18696,18784
0,1405350596,95312,3592,-18696,18784
0,1405350596,95563,3592,-18696,18784
0,1405350596,95815,3592,-18696,18784
0,1405350597,96067,3592,-18696,18784
0,1405350597,96318,3592,-18696,18784
0,1405350597,96576,3592,-18696,18784
0,1405350597,96835,3592,-18696,18784
0,1405350598,97090,3592,-18696,18784
0,1405350598,97347,3592,-18696,18784
0,1405350598,97604,3592,-18696,18784
0,1405350598,97863,3592,-18696,18784
0,1405350599,98120,3592,-18696,18784
0,1405350599,98377,3592,-18696,18784
0,1405350599,98630,3592,-18696,18784
0,1405350599,98885,3592,-18696,18784
0,1405350600,99138,3592,-18696,18784
0,1405350600,99390,3592,-18696,18784
0,1405350600,99642,3592,-18696,18784
0,1405350600,99899,3592,-18696,18784
0,1405350601,100153,3592,-18696,18784
0,1405350601,100412,3592,-18696,18784
0,1405350601,100668,3592,-18696,18784
0,1405350601,100923,3592,-18696,18784
0,1405350602,101175,3592,-18696,18784
0,1405350602,101436,3592,-18696,18784
0,1405350602,101695,3592,-18696,18784
0,1405350602,101952,3592,-18696,18784
0,1405350603,102209,3592,-18696,18784
0,1405350603,102467,3592,-18696,18784
0,1405350603,102725,3592,-18696,18784
0,1405350603,102978,3592,-18696,18784
0,1405350604,103230,3592,-18696,18784
0,1405350604,103497,3592,-18696,18784
0,1405350604,103753,3592,-18696,18784
0,1405350605,104011,3592,-18696,18784
0,1405350605,104269,3592,-18696,18784
0,1405350605,104523,3592,-18696,18784
0,1405350605,104782,3592,-18696,18784
0,1405350606,105038,3592,-18696,18784
0,1405350606,105326,3592,-18696,18784
0,1405350606,105582,3592,-18696,18784
0,1405350606,105839,3592,-18696,18784
0,1405350607,106091,3592,-18696,18784
0,1405350607,106349,3592,-18696,18784
0,1405350607,106606,3592,-18696,18784
0,1405350607,106860,3592,-18696,18784
0,1405350608,107117,3592,-18696,18784
0,1405350608,107369,3592,-18696,18784
0,1405350608,107623,3592,-18696,18784
0,1405350608,107882,3592,-18696,18784
0,1405350609,108140,3592,-18696,18784
0,1405350609,108392,3592,-18696,18784
0,1405350609,108645,3592,-18696,18784
0,1405350609,108896,3592,-18696,18784
0,1405350610,109150,3592,-18696,18784
0,1405350610,109428,3592,-18696,18784
0,1405350610,109681,3592,-18696,18784
0,1405350610,109932,3592,-18696,18784
0,1405350611,110189,3592,-18696,18784
0,1405350611,110442,3592,-18696,18784
0,1405350611,110696,3592,-18696,18784
0,1405350611,110948,3592,-18696,18784
0,1405350612,111205,3592,-18696,18784
0,1405350612,111461,3592,-18696,18784
0,1405350612,111715,3592,-18696,18784
0,1405350612,111970,3592,-18696,18784
0,1405350613,112224,3592,-18696,18784
0,1405350613,112476,3592,-18696,18784
0,1405350613,112733,3592,-18696,18784
0,1405350613,112989,3592,-18696,18784
0,1405350614,113248,3592,-18696,18784
0,1405350614,113504,3592,-18696,18784
0,1405350614,113765,3592,-18696,18784
0,1405350615,114018,3592,-18696,18784
0,1405350615,114277,3592,-18696,18784
0,1405350615,114534,3592,-18696,18784
0,1405350615,114786,3592,-18696,18784
0,1405350616,115038,3592,-18696,18784
0,1405350616,115293,3592,-18696,18784
0,1405350617,116417,3592,-18696,18784
0,1405350617,116668,3592,-18696,18784
0,1405350617,116927,3592,-18696,18784
0,1405350618,117179,3592,-18696,18784
0,1405350618,117464,3592,-18696,18784
0,1405350618,117717,3592,-18696,18784
0,1405350618,117970,3592,-18696,18784
0,1405350619,118224,3592,-18696,18784
0,1405350619,118484,3592,-18696,18784
0,1405350619,118742,3592,-18696,18784
0,1405350619,118999,3592,-18696,18784
0,1405350620,119257,3592,-18696,18784
0,1405350620,119525,3592,-18696,18784
0,1405350620,119780,3592,-18696,18784
0,1405350621,120039,3592,-18696,18784
0,1405350621,120295,3592,-18696,18784
0,1405350621,120558,3592,-18696,18784
0,1405350621,120815,3592,-18696,18784
0,1405350622,121066,3592,-18696,18784
0,1405350622,121319,3592,-18696,18784
0,1405350622,121572,3592,-18696,18784
0,1405350622,121823,3592,-18696,18784
0,1405350623,122080,3592,-18696,18784
0,1405350623,122336,3592,-18696,18784
0,1405350623,122592,3592,-18696,18784
0,1405350623,122843,3592,-18696,18784
0,1405350624,123094,3592,-18696,18784
0,1405350624,123348,3592,-18696,18784
0,1405350624,123610,3592,-18696,18784
0,1405350624,123862,3592,-18696,18784
0,1405350625,124120,3592,-18696,18784
0,1405350625,124371,3592,-18696,18784
0,1405350625,124625,3592,-18696,18784
0,1405350625,124879,3592,-18696,18784
0,1405350626,125135,3592,-18696,18784
0,1405350626,125387,3592,-18696,18784
0,1405350626,125652,3592,-18696,18784
0,1405350626,125910,3592,-18696,18784
0,1405350627,126166,3592,-18696,18784
0,1405350627,126429,3592,-18696,18784
0,1405350627,126683,3592,-18696,18784
0,1405350627,126940,3592,-18696,18784
0,1405350628,127195,3592,-18696,18784
0,1405350628,127447,3592,-18696,18784
0,1405350628,127711,3592,-18696,18784
0,1405350628,127963,3592,-18696,18784
0,1405350629,128215,3592,-18696,18784
0,1405350629,128467,3592,-18696,18784
0,1405350629,128725,3592,-18696,18784
0,1405350629,128982,3592,-18696,18784
0,1405350630,129241,3592,-18696,18784
0,1405350630,129495,3592,-18696,18784
0,1405350630,129751,3592,-18696,18784
0,1405350631,130006,3592,-18696,18784
