0,1405542637,utime,T(cK),I(cA),V(mV),V_sup(mV),Stat,T(cK),I(cA),V(mV),V_sup(mV),Stat
0,1405542637,mins,,,0,,,,,,0,,,,,0,,,,,0,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0
0,1405542637,maxs,,32768,,,32768,,32768,,32768,32768,32768,32768,32768,,32768,,32768
0,1405542637,attr,,N,,,,,,,,N,,,,,,N,,,,,,,N,,,,,N,,,,,N,,,,,N,,,,,N,,,,N,,,,,,,N
0,1405542668,32413,0,0,0,0,0,0,0,0,0,0
0,1405542669,33414,30510,-105,13325,0,1,30375,-105,11545,121,1
0,1405542670,34416,30510,-105,13325,0,1,30375,-105,11540,121,1
0,1405542671,35417,30510,-114,13320,0,1,30375,-114,11530,121,1
0,1405542672,36425,30510,-107,13320,0,1,30375,-107,11535,121,1
0,1405542673,37442,30465,-105,13320,0,1,30375,-105,11535,121,1
0,1405542674,38451,30510,-105,13320,0,1,30375,-105,11535,121,1
0,1405542675,39457,30510,-105,13320,0,1,30375,-105,11535,121,1
0,1405542676,40466,30510,-105,13320,0,1,30375,-107,11530,121,1
0,1405542677,41467,30510,-105,13320,0,1,30375,-107,11530,121,1
0,1405542678,42469,30510,-105,13315,0,1,30375,-105,11530,121,1
0,1405542679,43470,30510,-105,13315,0,1,30375,-105,11525,121,1
0,1405542680,44477,30510,-105,13315,0,1,30375,-105,11525,121,1
0,1405542681,45485,30510,-107,13315,0,1,30375,-107,11520,121,1
0,1405542682,46488,30510,-105,13315,0,1,30375,-105,11525,121,1
0,1405542683,47491,30510,-105,13310,0,1,30375,-105,11520,121,1
0,1405542684,48494,30510,-116,13305,0,1,30375,-116,11510,121,1
0,1405542685,49496,30510,-105,13310,0,1,30375,-107,11520,121,1
0,1405542686,50503,30510,-105,13310,0,1,30375,-105,11520,121,1
0,1405542687,51507,30510,-105,13310,0,1,30375,-105,11515,121,1
0,1405542688,52511,30510,-107,13305,0,1,30375,-108,11510,121,1
0,1405542689,53514,30510,-105,13305,0,1,30375,-105,11510,121,1
0,1405542690,54521,30510,-105,13305,0,1,30375,-107,11510,121,1
0,1405542691,55537,30510,-105,13305,0,1,30375,-105,11510,121,1
0,1405542692,56539,30510,-105,13305,0,1,30375,-107,11510,121,1
0,1405542693,57544,30510,-105,13305,0,1,30375,-105,11505,121,1
0,1405542694,58552,30510,-105,13305,0,1,30375,-105,11505,121,1
0,1405542695,59557,30510,-105,13300,0,1,30375,-105,11505,121,1
0,1405542696,60558,30465,-105,13300,0,1,30375,-105,11505,121,1
0,1405542697,61566,30510,-105,13300,0,1,30375,-105,11505,121,1
0,1405542698,62568,30510,-105,13300,0,1,30375,-105,11500,121,1
0,1405542699,63596,30510,-105,13300,0,1,30375,-105,11500,121,1
0,1405542700,64605,30510,-107,13295,0,1,30375,-107,11500,110,1
0,1405542701,65621,30510,-105,13295,0,1,30375,-105,11495,121,1
0,1405542702,66625,30510,-107,13295,0,1,30375,-107,11495,121,1
0,1405542703,67626,30510,-105,13295,0,1,30375,-105,11495,121,1
0,1405542704,68628,30510,-105,13295,0,1,30375,-105,11495,121,1
0,1405542705,69634,30510,-105,13295,0,1,30375,-105,11495,121,1
0,1405542707,71620,30465,-114,13290,0,1,30375,-114,11485,121,1
0,1405542708,72622,30510,-105,13290,0,1,30375,-107,11490,121,1
0,1405542709,73623,30510,-105,13290,0,1,30375,-105,11490,110,1
0,1405542710,74626,30510,-105,13290,0,1,30375,-105,11490,121,1
0,1405542711,75635,30510,-107,13290,0,1,30375,-107,11485,121,1
0,1405542712,76637,30510,-105,13290,0,1,30375,-107,11485,121,1
0,1405542713,77651,30510,-105,13285,0,1,30375,-105,11485,121,1
0,1405542714,78653,30465,-105,13285,0,1,30375,-105,11485,110,1
0,1405542715,79663,30510,-105,13285,0,1,30375,-105,11485,110,1
0,1405542716,80671,30510,-107,13285,0,1,30375,-107,11480,121,1
0,1405542717,81672,30510,-105,13285,0,1,30375,-105,11480,121,1
0,1405542718,82687,30510,-105,13280,0,1,30375,-105,11480,110,1
0,1405542719,83699,30510,-105,13280,0,1,30375,-105,11480,121,1
0,1405542720,84707,30510,-105,13280,0,1,30375,-105,11480,110,1
0,1405542721,85714,30510,-105,13280,0,1,30375,-105,11480,110,1
0,1405542722,86718,30465,-105,13280,0,1,30375,-105,11475,110,1
0,1405542723,87741,30510,-105,13280,0,1,30375,-105,11475,121,1
0,1405542724,88747,30510,-105,13280,0,1,30375,-105,11475,110,1
0,1405542725,89755,30510,-105,13275,0,1,30375,-107,11475,110,1
0,1405542726,90761,30510,-105,13275,0,1,30375,-105,11475,110,1
0,1405542727,91768,30510,-105,13275,0,1,30375,-105,11470,110,1
0,1405542728,92773,30510,-114,13270,0,1,30375,-114,11465,110,1
0,1405542729,93780,30510,-105,13275,0,1,30375,-105,11470,110,1
0,1405542730,94790,30465,-105,13275,0,1,30375,-105,11470,110,1
0,1405542731,95791,30510,-105,13270,0,1,30375,-105,11470,110,1
0,1405542732,96801,30510,-105,13270,0,1,30375,-105,11460,121,1
0,1405542733,97804,30510,-105,13270,0,1,30375,-105,11460,110,1
0,1405542734,98805,30510,-105,13265,0,1,30375,-105,11460,110,1
0,1405542735,99807,30510,-105,13265,0,1,30375,-105,11460,110,1
0,1405542736,100814,30510,-105,13265,0,1,30375,-105,11455,121,1
0,1405542737,101825,30510,-105,13265,0,1,30375,-105,11455,110,1
0,1405542738,102834,30465,-105,13265,0,1,30375,-105,11455,110,1
0,1405542739,103836,30510,-105,13265,0,1,30375,-105,11455,110,1
0,1405542740,104839,30510,-113,13260,0,1,30375,-113,11445,110,1
0,1405542742,106730,30510,-105,13265,0,1,30375,-105,11450,110,1
0,1405542743,107732,30510,1,13325,23881,1,30375,1,11800,24123,1
0,1405542744,108733,30465,1,13330,23892,1,30375,1,11845,24134,1
0,1405542745,109757,30510,0,13330,23903,4,30420,0,11860,24145,2
0,1405542746,110758,30510,0,13335,23903,4,30420,0,11870,24145,2
0,1405542747,111759,30465,101,13385,23540,1,30375,103,12045,23881,3
0,1405542748,112763,30510,101,13390,23540,1,30420,103,12095,23881,3
0,1405542749,113770,30465,101,13395,23540,1,30420,103,12165,23881,3
0,1405542750,114775,30465,101,13395,23540,1,30420,103,12235,23881,3
0,1405542751,115778,30465,101,13395,23540,1,30375,103,12445,23881,3
0,1405542752,116793,30465,101,13400,23540,1,30420,101,12710,23881,3
0,1405542753,117796,30510,101,13400,23540,1,30375,101,12830,23870,3
0,1405542754,118800,30465,101,13405,23540,1,30420,101,12890,23870,3
0,1405542755,119808,30465,101,13405,23540,1,30420,101,12955,23870,3
0,1405542756,120809,30465,-24,13350,23276,1,30375,-24,12860,23881,3
0,1405542757,121811,30465,-23,13345,23265,1,30375,-24,12835,23881,3
0,1405542758,122821,30465,-23,13345,23309,1,30375,-24,12820,23881,3
0,1405542759,123831,30465,101,13405,23529,1,30420,101,12975,23870,3
0,1405542760,124833,30465,101,13410,23540,1,30420,101,13035,23870,3
0,1405542761,125846,30465,101,13410,23540,1,30420,101,13065,23870,3
0,1405542762,126855,30465,101,13410,23540,1,30420,101,13085,23870,3
0,1405542763,127859,30510,101,13415,23540,1,30420,101,13100,23870,3
0,1405542764,128865,30510,101,13415,23540,1,30420,101,13110,23870,3
0,1405542765,129868,30465,101,13420,23540,1,30420,101,13120,23870,3
0,1405542766,130878,30465,101,13420,23540,1,30420,101,13130,23870,3
0,1405542767,131885,30465,101,13420,23540,1,30420,101,13135,23870,3
0,1405542768,132892,30510,101,13425,23540,1,30420,101,13140,23870,3
0,1405542769,133899,30465,101,13425,23540,1,30420,101,13145,23870,3
0,1405542770,134902,30510,101,13425,23540,1,30420,101,13150,23870,3
0,1405542771,135912,30465,101,13430,23540,1,30420,101,13155,23870,3
0,1405542772,136919,30465,101,13430,23540,1,30420,101,13160,23870,3
0,1405542773,137932,30465,101,13430,23540,1,30420,101,13165,23870,3
0,1405542774,138940,30465,101,13430,23540,1,30420,101,13165,23870,3
0,1405542775,139946,30465,101,13435,23529,1,30420,101,13170,23870,3
0,1405542776,140954,30465,101,13435,23540,1,30420,101,13170,23870,3
0,1405542777,141966,30465,101,13435,23540,1,30420,101,13175,23870,3
0,1405542778,142980,30465,-3,13385,23287,1,30375,-3,13105,23870,3
0,1405542779,143981,30465,100,13430,23529,1,30420,100,13150,23870,3
0,1405542780,144984,30510,101,13435,23540,1,30420,101,13170,23870,3
0,1405542782,146012,30465,101,13440,23540,1,30420,101,13175,23870,3
0,1405542783,147013,30465,101,13440,23540,1,30420,101,13180,23870,3
0,1405542784,148020,30465,101,13440,23529,1,30420,101,13185,23870,3
0,1405542785,149028,30465,101,13445,23540,1,30420,101,13185,23870,3
0,1405542786,150037,30510,101,13445,23529,1,30420,101,13190,23870,3
0,1405542787,151046,30465,101,13445,23529,1,30420,101,13190,23870,3
0,1405542788,152061,30465,101,13445,23529,1,30420,101,13195,23870,3
0,1405542789,153076,30510,101,13450,23529,1,30420,101,13195,23870,3
0,1405542790,154084,30465,101,13450,23529,1,30420,101,13195,23870,3
0,1405542791,155090,30465,101,13450,23529,1,30420,101,13200,23870,3
0,1405542792,156102,30465,101,13450,23540,1,30420,101,13200,23870,3
0,1405542793,157112,30510,101,13455,23540,1,30420,101,13200,23870,3
0,1405542794,158116,30465,101,13455,23529,1,30420,101,13205,23870,3
0,1405542795,159124,30465,101,13455,23540,1,30420,101,13205,23870,3
0,1405542796,160126,30510,101,13455,23529,1,30420,101,13205,23870,3
0,1405542797,161135,30465,101,13460,23540,1,30420,101,13210,23870,3
