0,1405715931,utime,volts24,volts12,gappos,gapmotor,BSChKill,MotCont,MotPreC,ArrCont,ArrPreC,GapD1,GapIN1,GapIN2,ArrayA,ArrayB,ArrayC,Estop,Thren
0,1405715931,mins,,,,0,,,,,,0,,,,,,,0,,,,,,-2,,,,,,,,0,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,0
0,1405715931,maxs,,,100,,,,100,,,,100,,,,,,+2,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,1,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,1
0,1405715931,attr,,,,N,,,,,,,N,,,,,,N,,,,,,,N,,,,,,,,L,,,,,,,,L,,,,,,L,,,,,,,L,,,,,,,L,,,,,,L,,,,,L,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,L
0,1405715931,1982,32679,1968,48685,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1405715934,4667,32679,1968,48685,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405715935,5674,32679,1968,48685,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1405715936,6677,32679,1968,48685,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1405715937,7681,32679,1968,48685,0,0,0,0,0,1,0,1,1,0,0,0,0,1
0,1405715938,8990,32679,1968,48685,-1,0,0,0,0,1,0,0,1,0,0,0,0,1
0,1405715939,9991,32679,1968,48685,0,0,0,0,1,1,0,1,1,0,0,0,0,1
0,1405715941,11006,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715942,12011,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715943,13014,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715944,14016,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715945,15018,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715946,16024,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715947,17027,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715948,18028,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715949,19032,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715950,20040,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715951,21042,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715952,22051,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715953,23057,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715954,24064,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715955,25068,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715956,26076,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715957,27081,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715958,28089,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715959,29090,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715960,30096,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715961,31098,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715962,32102,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715963,33103,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715964,34109,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715965,35117,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715966,36123,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715967,37127,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715968,38141,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715969,39142,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715970,40145,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715971,41152,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715972,42154,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715973,43158,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715974,44159,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715975,45161,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715976,46162,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715977,47163,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715978,48169,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715979,49180,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715980,50187,32679,1968,48685,-1,0,0,0,1,0,0,0,1,1,1,1,0,1
0,1405715981,51188,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
0,1405715982,52190,32679,1968,48685,0,0,0,0,1,0,0,1,1,1,1,1,0,1
